CONCEPT				POLARITY		INTENSITY
expectant_mother		positive		0.939
expectantly			negative		-0.86
expectation			positive		0.925
expectedness			positive		0.611
expectorant			positive		0.791
expectorate			negative		-0.96
expectoration			positive		0.04
expedience			negative		-0.78
expediency			negative		-0.86
expedient			negative		-0.78
expediently			positive		0.977
expedite			negative		-0.71
expedition			positive		0.845
expeditious			positive		0.821
expeditiously			positive		0.981
expel				negative		-0.76
expence				positive		0.652
expend				positive		0.729
expend_energy			negative		-0.02
expenditure			negative		-0.75
expense				positive		0.078
expense_allowance		positive		0.923
expense_deduction		positive		0.923
expensive			negative		-0.86
expensive_car			positive		0.851
expensive_clothe		negative		-0.93
expensive_dress			positive		0.824
expensive_food			positive		0.037
expensive_gift			positive		0.839
expensive_hobby			negative		-0.86
expensive_house			negative		-0.16
expensive_jewellery		positive		0.867
expensive_jewelry		positive		0.867
expensive_now			negative		-0.82
expensive_sport			positive		0.075
expensive_stone			negative		-0.77
expensiveness			positive		0.849
experience			positive		0.921
experience_different_culture	positive		0.929
experience_emotion		positive		0.993
experience_fear			negative		-0.86
experience_joy			positive		0.993
experience_life			positive		0.993
experience_new			positive		0.844
experience_pain			negative		-0.78
experience_pleasure		positive		0.928
experienced			positive		0.835
experienced_climber		positive		0.562
experienced_diver		positive		0.07
experienced_rapid_growth	positive		0.106
experiencing_chest_pain		negative		-0.20
experiencing_nausea		negative		-0.11
experient			positive		0.771
experiential			positive		0.921
experiential_knowledge		negative		-0.05
experiment			positive		0.017
experimental			positive		0.873
experimental_archaeology	positive		0.071
experimental_filmmaker		negative		-0.70
experimental_pathology		negative		-0.79
experimental_psychologist	positive		0.854
experimental_system		positive		0.909
experimental_vaccine		negative		-0.10
experimentally			positive		0.822
experimentally_determine	positive		0.768
experimentation			positive		0.789
experimenter			positive		0.764
experimenter_bias		positive		0.759
expert				positive		0.844
expert_advice			positive		0.844
expert_advisory			positive		0.817
expert_disagree			positive		0.632
expert_marksman			positive		0.93
expert_opinion			positive		0.844
expert_report			positive		0.759
expert_witness_testimony	positive		0.844
expertise			positive		0.983
expertly			positive		0.287
expertness			positive		0.715
expiable			positive		0.769
expiate				positive		0.035
expiation			negative		-0.73
expiatory			negative		-0.68
expiration			positive		0.839
expiratory			positive		0.04
expire				negative		-0.08
expired				negative		-0.69
expired_beef			negative		-0.89
expired_egg			negative		-0.89
expired_food			negative		-0.69
expired_license_plate		negative		-0.17
expired_milk			negative		-0.89
expiring			negative		-0.82
expiry				positive		0.839
expiry_date			negative		-0.16
explain				positive		0.039
explain_detail			positive		0.983
explain_everything		negative		-0.08
explain_idea			positive		0.776
explain_problem			negative		-0.04
explain_subject			positive		0.675
explain_why			positive		0.084
explainable			negative		-0.79
explaination			positive		0.163
explaining_why			positive		0.084
explanation			positive		0.084
explanatory			positive		0.703
explanatory_dictionary		negative		-0.76
explanatory_letter		positive		0.052
explanatory_power		negative		-0.68
expletive			negative		-0.74
expletive_laden			negative		-0.80
explicable			negative		-0.79
explicate			positive		0.667
explication			positive		0.703
explicit			positive		0.726
explicit_acknowledgement	positive		0.934
explicit_formula		positive		0.797
explicit_instruction		positive		0.085
explicit_rejection		positive		0.74
explicit_representation		negative		-0.93
explicit_sexual			negative		-0.71
explicitly			positive		0.806
explicitly_prohibit		negative		-0.84
explicitness			positive		0.668
explode				negative		-0.08
exploded_prematurely		negative		-0.06
exploit				negative		-0.77
exploitability			negative		-0.77
exploitable			negative		-0.77
exploitation			negative		-0.77
exploitative_labor		negative		-0.20
exploration			positive		0.062
exploratory_behavior		positive		0.791
exploratory_research		positive		0.835
exploratory_surgery		negative		-0.88
explore				positive		0.062
explore_idea			positive		0.085
explore_nature			positive		0.675
explore_underwater		positive		0.751
explore_universe		positive		0.675
explorer			positive		0.085
explorer_grand_slam		positive		0.851
exploring_every_nook		positive		0.759
explosif			negative		-0.73
explosion			negative		-0.11
explosion_hazard		negative		-0.85
explosive			negative		-0.88
explosive_belt			negative		-0.06
explosive_charge		positive		0.087
explosive_compound		negative		-0.73
explosive_decompression		negative		-0.86
explosive_detonation		negative		-0.85
explosive_device		negative		-0.09
explosive_growth		positive		0.726
explosive_temper		negative		-0.66
explosive_yield			negative		-0.85
explosiveness			positive		0.831
expo				negative		-0.85
exponentially			positive		0.921
exponentiation			positive		0.063
export				positive		0.828
export_boom			positive		0.12
export_import			positive		0.097
export_oriented_economy		positive		0.12
export_sector			positive		0.12
exportation			positive		0.097
exporter			positive		0.097
expose				negative		-0.81
expose_skin_sun			negative		-0.10
exposed_brick			positive		0.669
exposit				positive		0.76
expository			negative		-0.72
expository_paper		negative		-0.02
expostulate			negative		-0.90
expostulation			negative		-0.76
exposure			positive		0.736
expound				positive		0.831
expounder			positive		0.746
express				positive		0.098
express_anger			negative		-0.89
express_appreciation		positive		0.813
express_contempt		negative		-0.61
express_emotion			positive		0.749
express_feeling			positive		0.953
express_good_emotion		positive		0.749
express_gratitude		positive		0.963
express_idea			positive		0.796
express_individuality		positive		0.628
express_information		positive		0.831
express_joy			positive		0.793
express_love			positive		0.813
express_opinion			positive		0.793
express_sadness			negative		-0.71
express_warranty		positive		0.844
expressed_outrage		negative		-0.71
expressed_remorse		negative		-0.32
expressibility			positive		0.686
expressing_gratitude		positive		0.284
expression			positive		0.728
expressionism			positive		0.918
expressionist_art		positive		0.619
expressionistic			positive		0.689
expressionless			negative		-0.88
expressive			positive		0.2
expressive_aphasia		negative		-0.88
expressive_language		positive		0.745
expressive_medium		positive		0.619
expressive_therapy		positive		0.017
expressiveness			positive		0.778
expressivism			positive		0.729
expressivity			positive		0.82
expressly			negative		-0.75
expressly_forbidden		negative		-0.84
expressly_prohibit		negative		-0.84
expressway			positive		0.783
expropriate			negative		-0.82
expulsion			negative		-0.06
expunge				negative		-0.97
expunger			negative		-0.97
expurgate			positive		0.857
expurgation			negative		-0.76
exquisite			positive		0.831
exquisite_beauty		negative		-0.81
exquisite_craftsmanship		positive		0.867
exquisite_sensitivity		negative		-0.66
exquisite_taste			positive		0.849
exquisite_workmanship		positive		0.867
exquisitely			positive		0.914
exsultet			negative		-0.81
extemporaneous			negative		-0.72
extemporaneous_speech		negative		-0.72
extemporaneously		negative		-0.72
extemporary			negative		-0.72
extempore			negative		-0.72
extend				positive		0.055
extend_arm			positive		0.776
extend_beyond			positive		0.055
extend_life_span		positive		0.059
extendable_metal		negative		-0.85
extended_guitar_solo		positive		0.844
extended_wheelbase		positive		0.067
extending_beyond		positive		0.055
extending_outward		positive		0.843
extends_anteriorly		negative		-0.69
extends_eastward		positive		0.036
extends_inland			positive		0.048
extends_northward		positive		0.036
extensibility			negative		-0.82
extension			positive		0.161
extension_agronomist		negative		-0.69
extension_cord			positive		0.943
extension_entomologist		negative		-0.69
extensional			positive		0.743
extensionality			positive		0.645
extensive			positive		0.836
extensive_array			positive		0.87
extensive_correspondence	positive		0.12
extensive_damage		negative		-0.97
extensive_deforestation		positive		0.718
extensive_experience		positive		0.983
extensive_renovation		negative		-0.10
extensive_structural_damage	negative		-0.97
extensively			positive		0.883
extensor			negative		-0.74
extensor_digitorum		negative		-0.25
extent				positive		0.132
extenuate			positive		0.035
extenuating			positive		0.635
extenuation			negative		-0.73
exterior			positive		0.078
exterior_decoration		positive		0.063
exterior_facade			positive		0.063
exterior_gateway		positive		0.063
exterior_lighting		negative		-0.68
exterior_trim			positive		0.063
exterior_wall			positive		0.063
exteriority			positive		0.681
exteriorly			negative		-0.79
exterminate			negative		-0.78
extermination			negative		-0.14
exterminator			negative		-0.82
external			negative		-0.76
external_anal_sphincter		positive		0.727
external_antenna		positive		0.067
external_audit			positive		0.831
external_auditor		positive		0.831
external_ear_canal		negative		-0.87
external_hard_disk		positive		0.943
external_hard_drive		positive		0.943
external_jugular_vein		positive		0.147
external_link			negative		-0.05
external_link_section		negative		-0.06
external_ophthalmoplegia	negative		-0.72
external_peer_review		negative		-0.75
external_respiration		positive		0.675
external_sphincter		positive		0.943
external_staircase		negative		-0.09
external_stimulation		positive		0.873
external_stimulus		positive		0.096
external_validity		positive		0.759
external_varix			positive		0.772
externalist			negative		-0.70
externally			positive		0.871
exteroceptive			positive		0.736
extinct				negative		-0.14
extinct_moa			negative		-0.84
extinction			negative		-0.81
extinguish			negative		-0.03
extinguish_fire			positive		0.072
extinguished			negative		-0.82
extinguisher			positive		0.763
extinguishes			negative		-0.87
extinguishing_agent		negative		-0.85
extinguishment			negative		-0.03
extirpate			negative		-0.93
extol				positive		0.817
extolment			positive		0.813
extort				positive		0.772
extort_money			negative		-0.87
extort_money_from		negative		-0.87
extortion			negative		-0.14
extortionate			negative		-0.80
extra				positive		0.076
extra-linguistic		negative		-0.78
extra-national			negative		-0.88
extra_articular			negative		-0.90
extra_cash			positive		0.076
extra_caution			negative		-0.19
extra_dimension			positive		0.943
extra_hassle			negative		-0.28
extra_insulation		positive		0.076
extra_layer			positive		0.076
extra_legroom			positive		0.076
extra_marital			negative		-0.72
extra_marital_affair		positive		0.766
extra_marital_sex		negative		-0.68
extra_money			positive		0.831
extra_preliminary_round		positive		0.036
extra_scrutiny			negative		-0.75
extra_sensory_perception	positive		0.866
extra_spice			positive		0.839
extra_strength_tylenol		negative		-0.28
extra_tyre			positive		0.675
extra_vigilance			negative		-0.19
extra_weight			positive		0.076
extracellular_compartment	negative		-0.68
extracellular_fluid		positive		0.357
extracellular_fluid_volume	positive		0.357
extracellular_potassium		negative		-0.68
extracellular_volume		negative		-0.68
extracellularly			positive		0.719
extract				negative		-0.71
extract_concession_from		positive		0.865
extracted_teeth			negative		-0.76
extractor			positive		0.734
extractor_fan			positive		0.759
extracurricular_activity	negative		-0.78
extradimensional		positive		0.043
extradition_warrant		positive		0.052
extraintestinal			negative		-0.87
extrajudicial_detention		negative		-0.77
extralegal			negative		-0.75
extramarital			positive		0.088
extramarital_affair		positive		0.766
extramarital_sex		negative		-0.79
extramarital_sexual		negative		-0.79
extramedullary			negative		-0.79
extramural_support		positive		0.875
extraneous			negative		-0.79
extraocular			negative		-0.78
extraocular_muscle		negative		-0.72
extraordinarily			positive		0.845
extraordinarily_difficult	negative		-0.85
extraordinarily_diverse		positive		0.105
extraordinarily_rich		positive		0.91
extraordinarily_successful	positive		0.903
extraordinary			positive		0.779
extraordinary_bravery		negative		-0.77
extraordinary_courage		negative		-0.77
extraordinary_feat		positive		0.851
extraordinary_gallantry		positive		0.807
extraordinary_heroism		positive		0.807
extraordinary_session		negative		-0.64
extraordinary_talent		positive		0.694
extraordinary_valor		positive		0.807
extraperitoneal			negative		-0.63
extrapolate			positive		0.874
extrapolation			positive		0.178
extrapyramidal			positive		0.763
extrasensory			positive		0.866
extrasensory_perception		positive		0.779
extrasensory_perception_esp	positive		0.866
extrasolar			positive		0.658
extrastriate_cortex		positive		0.736
extraterrestrial		negative		-0.71
extraterrestrial_being		negative		-0.71
extraterrestrial_race		negative		-0.21
extraterritorial		negative		-0.76
extraterritoriality		positive		0.863
extrauterine_gestation		negative		-0.79
extrauterine_pregnancy		negative		-0.79
extravagance			negative		-0.80
extravagant			negative		-0.89
extravagant_lifestyle		negative		-0.89
extravagantly			negative		-0.94
extravaganza			positive		0.082
extravasation			negative		-0.80
extravascular			positive		0.357
extraversion			negative		-0.70
extraversion_introversion	positive		0.852
extravert			positive		0.852
extreame			negative		-0.30
extremal_graph_theory		negative		-0.93
extreme				negative		-0.86
extreme_anxiety			negative		-0.49
extreme_asceticism		positive		0.805
extreme_boredom			negative		-0.86
extreme_caution			negative		-0.19
extreme_cold			positive		0.087
extreme_cold_weather		positive		0.087
extreme_dehydration		negative		-0.75
extreme_drought			negative		-0.89
extreme_elation			negative		-0.88
extreme_exhaustion		negative		-0.81
extreme_fatigue			negative		-0.81
extreme_fear			negative		-0.80
extreme_happiness		positive		0.999
extreme_heat			positive		0.087
extreme_indifference		positive		0.771
extreme_joy			positive		0.993
extreme_longevity		positive		0.059
extreme_metal_band		negative		-0.81
extreme_nationalism		positive		0.82
extreme_pleasure		positive		0.997
extreme_poverty			negative		-0.38
extreme_prematurity		negative		-0.73
extreme_rainfall		negative		-0.07
extreme_sensitivity		negative		-0.66
extreme_simplicity		positive		0.644
extreme_skepticism		negative		-0.81
extreme_skier			positive		0.562
extreme_sport			positive		0.081
extreme_thirst			positive		0.196
extreme_unction			positive		0.909
extreme_vigilance		positive		1
extreme_volatility		negative		-0.70
extremely			positive		0.855
extremely_arid			positive		0.718
extremely_beneficial		positive		0.667
extremely_busy			negative		-0.76
extremely_careful		negative		-0.19
extremely_cold_weather		positive		0.087
extremely_competitive		positive		0.887
extremely_complex		negative		-0.75
extremely_costly		negative		-0.09
extremely_difficult		negative		-0.07
extremely_durable		positive		0.794
extremely_expensive		negative		-0.89
extremely_faint			positive		0.652
extremely_fast			positive		0.851
extremely_fertile		positive		0.883
extremely_flammable		negative		-0.85
extremely_flexible		positive		0.135
extremely_fond			positive		0.723
extremely_fruitful		positive		0.792
extremely_frustrating		negative		-0.35
extremely_harmful		negative		-0.77
extremely_helpful		negative		-0.04
extremely_hot			positive		0.094
extremely_important		negative		-0.04
extremely_intelligent		positive		0.921
extremely_irritable		negative		-0.87
extremely_lightweight		positive		0.355
extremely_low			negative		-0.06
extremely_lucrative		positive		0.798
extremely_obese			negative		-0.97
extremely_pessimistic		negative		-0.75
extremely_popular		positive		0.882
extremely_powerful		positive		0.083
extremely_powerful_tool		negative		-0.04
extremely_preterm		positive		0.74
extremely_problematic		negative		-0.85
extremely_profitable		positive		0.798
extremely_rare_disorder		negative		-0.78
extremely_readable		positive		0.055
extremely_resistant		negative		-0.71
extremely_sensitive		negative		-0.66
extremely_skeptical		negative		-0.99
extremely_slippery		negative		-0.03
extremely_sociable		positive		0.897
extremely_stressful		negative		-0.81
extremely_tense			negative		-0.05
extremely_toxic			negative		-0.16
extremely_unlucky		negative		-0.92
extremely_useful		negative		-0.04
extremely_useful_tool		negative		-0.04
extremely_valuable		negative		-0.04
extremely_valuable_tool		negative		-0.04
extremely_versatile		positive		0.135
extremely_vulnerable		negative		-0.89
extremely_wealthy		positive		0.91
extremely_windy			negative		-0.02
extremist			negative		-0.88
extremist_islam			negative		-0.15
extremity			positive		0.186
extremum			negative		-0.82
extricate			positive		0.789
extrinsic			negative		-0.79
extrinsic_compression		positive		0.727
extrinsic_evidence		negative		-0.74
extrinsic_motivation		positive		0.239
extrinsic_reward		positive		0.239
extrinsical			negative		-0.63
extroversion			positive		0.852
extrovert			positive		0.15
extubation			negative		-0.63
exuberance			positive		0.3
exuberant			positive		0.352
exuberantly			positive		0.293
exudate				negative		-0.92
exudation			negative		-0.87
exude				negative		-0.77
exult				positive		0.35
exultant			positive		0.363
exultantly			positive		0.345
exultation			positive		0.345
exultet				negative		-0.81
exulting			positive		0.363
exultingly			positive		0.345
exurban				negative		-0.70
eye				positive		0.652
eye-catching			positive		0.902
eye-opening			positive		0.919
eye-popping			positive		0.042
eye-witness			positive		0.826
eye_beholder			positive		0.182
eye_blink			negative		-0.08
eye_candy			positive		0.869
eye_close			positive		0.042
eye_contact			positive		0.083
eye_disease			positive		0.644
eye_downcast			negative		-0.77
eye_failure			negative		-0.64
eye_function			positive		0.092
eye_gaze			positive		0.64
eye_gouge			negative		-0.71
eye_irritant			negative		-0.68
eye_irritation			negative		-0.68
eye_jaundice			negative		-0.76
eye_liner			negative		-0.85
eye_makeup			negative		-0.85
eye_makeup_remover		positive		0.996
eye_nose			positive		0.064
eye_open			positive		0.806
eye_opener			positive		0.806
eye_popping			negative		-0.81
eye_problem			negative		-0.64
eye_sense			positive		0.111
eye_shadow			negative		-0.85
eye_socket			negative		-0.03
eye_stimulation			positive		0.894
eye_strain			negative		-0.89
eye_stripe			positive		0.032
eye_surgery			positive		0.633
eye_tear			negative		-0.81
eye_up_down			negative		-0.73
eyeball				positive		0.049
eyebolt				positive		0.134
eyebright_euphrasia		negative		-0.76
eyebrow_hair			negative		-0.82
eyeglass			negative		-0.02
eyelash				positive		0.772
eyelet				negative		-0.04
eyelid				negative		-0.78
eyelid_surgery			positive		0.788
eyeliner			positive		0.775
eyepiece			positive		0.05
eyeshadow			positive		0.768
eyesight			negative		-0.07
eyesight_obscure		negative		-0.81
eyesore				negative		-0.72
eyestrain			negative		-0.7
eyestripe			positive		0.032
eyewitness_testimony		negative		-0.75
eymerich			negative		-0.67
eyrbyggja_saga			positive		0.148
ezmlm				positive		0.062
ezra_klein			positive		0.749
ezula				negative		-0.79
fa_cup_quarter			positive		0.036
fa_cup_replay			positive		0.036
faade				positive		0.063
faba_bean			positive		0.883
fabio_frizzi			negative		-0.81
fable				positive		0.093
fabled				negative		-0.76
fabliau				positive		0.093
fabric				positive		0.039
fabric_material			positive		0.039
fabric_shop			negative		-0.02
fabric_softener			positive		0.084
fabric_store			positive		0.781
fabric_type			positive		0.116
fabric_woven			positive		0.039
fabricate			positive		0.085
fabricating			negative		-0.83
fabrication			negative		-0.82
fabricator			negative		-0.82
fabulae				negative		-0.73
fabulist			positive		0.085
fabulous			positive		0.793
fabulously			negative		-0.79
fabulously_rich			positive		0.91
fabulously_wealthy		positive		0.893
facade				positive		0.047
face				positive		0.679
face-saving			positive		0.867
face-to-face			negative		-0.78
face_feature			positive		0.104
face_fierce_competition		positive		0.887
face_music			positive		0.89
face_pack			positive		0.894
face_paint			positive		0.906
face_part			positive		0.103
face_recognition		positive		0.088
face_stiff_competition		positive		0.887
face_time			positive		0.71
face_to_face			positive		0.791
face_towel			positive		0.077
face_transitive			positive		0.766
face_up				negative		-0.80
face_value			positive		0.675
facebook_source_perthnow	positive		0.084
facecolor_property		positive		0.371
faced_heron			negative		-0.78
facemask			negative		-0.82
faceplate			positive		0.037
facere				positive		0.729
facet				positive		0.069
facetime			positive		0.71
facetiously			negative		-0.90
facial				positive		0.104
facial_acne			negative		-0.72
facial_animation		positive		0.823
facial_appearance		positive		0.027
facial_asymmetry		positive		0.104
facial_cleanser			negative		-0.03
facial_dysmorphism		negative		-0.78
facial_expression		negative		-0.89
facial_expression_movement	negative		-0.84
facial_feature			positive		0.046
facial_hair			negative		-0.03
facial_injury			negative		-0.07
facial_mask			positive		0.996
facial_massage			positive		0.104
facial_moisturizer		positive		0.046
facial_muscle			positive		0.104
facial_nerve			negative		-0.25
facial_nerve_palsy		negative		-0.74
facial_nerve_vii		negative		-0.78
facial_organ			positive		0.048
facial_pain			negative		-0.77
facial_palsy			negative		-0.72
facial_part			positive		0.104
facial_plastic			positive		0.633
facial_plastic_surgery		positive		0.633
facial_reconstructive_surgery	positive		0.633
facial_resemblance		negative		-0.75
facial_skin			negative		-0.82
facial_structure		positive		0.027
facial_stubble			negative		-0.62
facial_surgery			positive		0.633
facial_symmetry			positive		0.688
facial_tissue			positive		0.104
facial_wound			negative		-0.08
facially_neutral		negative		-0.90
faciei				negative		-0.85
facile				negative		-0.73
facilitate			positive		0.874
facilitate_communication	positive		0.877
facilitates_collaboration	positive		0.877
facilitating_collaboration	positive		0.877
facilitative_role		negative		-0.78
facilitator			positive		0.736
facilitatory			positive		0.869
facility			positive		0.729
facility_crif			positive		0.811
facing_facade			positive		0.04
facing_stiff_competition	positive		0.887
facit_per_se			positive		0.561
facsimile			positive		0.888
facsimile_edition		positive		0.066
fact				positive		0.91
fact_finder			positive		0.111
fact_right			positive		0.786
fact_straight			positive		0.854
facticity			positive		0.63
faction				negative		-0.80
factional			negative		-0.90
factional_strife		negative		-0.69
factionalism			positive		0.847
factious			negative		-0.74
factoid				positive		0.851
factory				positive		0.121
factory_outlet			positive		0.07
factory_output			positive		0.118
factory_worker			positive		0.936
factual				positive		0.836
factual_accuracy		positive		0.869
factual_determination		negative		-0.74
factual_dispute			negative		-0.74
factual_evidence		positive		0.844
factual_information		positive		0.836
factual_knowledge		positive		0.781
factual_situation		negative		-0.81
factuality			positive		0.632
factually			positive		0.836
factually_correct		positive		0.836
facula				positive		0.822
facultative			negative		-0.89
facultative_anaerobe		negative		-0.76
facultative_anaerobic		negative		-0.76
facultatively_anaerobic		negative		-0.76
faculty				positive		0.616
faculty_adviser			negative		-0.02
faculty_advisor			negative		-0.02
faculty_member			negative		-0.79
faculty_mentor			positive		0.797
faculty_research		positive		0.853
fad				positive		0.046
faddish				negative		-0.77
faddism				negative		-0.84
fade_away			negative		-0.72
fade_resistant			positive		0.045
fadeaway			negative		-0.81
fadeaway_jumper			negative		-0.81
faded				negative		-0.78
fades_away			negative		-0.72
fading				negative		-0.81
fading_away			negative		-0.72
fadwa				positive		0.763
faecal_incontinence		positive		0.795
faen				positive		0.732
faerie				positive		0.78
faery				positive		0.753
faff				positive		0.651
fag				positive		0.619
fag_hag				negative		-0.34
fag_out				positive		0.787
fagaceae			negative		-0.73
faggot				positive		0.619
faggot_up			negative		-0.72
fagot				positive		0.619
fagrskinna			negative		-0.74
fagus_sylvatica			negative		-0.60
fai_cup_final			positive		0.036
fail				negative		-0.87
fail-over			positive		0.833
fail-safe			positive		0.831
fail_class			negative		-0.85
fail_exam			negative		-0.85
fail_prematurely		negative		-0.72
fail_safe			positive		0.912
fail_test			negative		-0.85
fail_work			negative		-0.03
failed_coup			negative		-0.72
failing				negative		-0.70
failing_eyesight		negative		-0.07
failover			negative		-0.09
failsafe			positive		0.83
failure				negative		-0.13
faineance			negative		-0.65
faineant			negative		-0.87
faint				negative		-0.04
faint_constellation		positive		0.72
faint_cry			negative		-0.75
faint_glow			negative		-0.82
faint_resemblance		negative		-0.75
faint_scent			positive		0.907
faint_smell			negative		-0.85
faint_smile			negative		-0.83
faint_suddenly			negative		-0.08
fainted_away			negative		-0.87
fainter				negative		-0.82
fainter_star			positive		0.831
faintest_sound			negative		-0.83
faintest_star			positive		0.652
fainthearted			negative		-0.87
faintly				negative		-0.92
faintness			positive		0.72
fair				positive		0.73
fair-minded			positive		0.756
fair_complexion			positive		0.943
fair_game			negative		-0.78
fair_judgment			positive		0.869
fair_share			negative		-0.81
faire_un			positive		0.935
fairer				positive		0.73
fairest				positive		0.167
fairground			positive		0.869
fairground_ride			positive		0.06
fairie				positive		0.867
fairlop				positive		0.721
fairly				positive		0.91
fairly_cheap			positive		0.101
fairly_common			negative		-0.96
fairly_commonplace		negative		-0.96
fairly_decent			positive		0.798
fairly_easy			negative		-0.07
fairly_evenly			positive		0.948
fairly_evenly_between		positive		0.948
fairly_inexpensive		positive		0.101
fairly_modest			positive		0.878
fairly_simple			negative		-0.07
fairly_straightforward		negative		-0.07
fairly_tolerant			positive		0.889
fairness			positive		0.073
fairview_avenue			negative		-0.03
fairview_cemetery		negative		-0.70
fairy				positive		0.867
fairy_candle			negative		-0.61
fairy_chess_piece		positive		0.115
fairy_dust			positive		0.869
fairy_flax			positive		0.753
fairy_folk			negative		-0.80
fairy_godmother			positive		0.78
fairy_magic			positive		0.732
fairy_queen			positive		0.867
fairy_story			negative		-0.08
fairy_tale			positive		0.096
fairyland			positive		0.867
fairytale			negative		-0.88
fairytale_wedding		positive		0.876
faith				positive		0.934
faith_god			positive		0.939
faithful			positive		0.787
faithful_companion		positive		0.756
faithful_dog			positive		0.756
faithful_inn			positive		0.05
faithful_observance		negative		-0.79
faithful_servant		positive		0.751
faithfully			positive		0.77
faithfully_execute		positive		0.78
faithfulness			positive		0.91
faithlessness			positive		0.72
faiyum				positive		0.105
fajita				positive		0.082
fake				negative		-0.31
fake_blood			negative		-0.69
fake_certificate		negative		-0.72
fake_checkpoint			negative		-0.12
fake_diy			positive		0.636
fake_document			negative		-0.72
fake_facebook			positive		0.08
fake_love			negative		-0.95
fake_tan			negative		-0.75
fake_tooth			negative		-0.03
faker				negative		-0.82
fakhri				positive		0.763
fakie				positive		0.069
fakir				negative		-0.76
falaise_gap			positive		0.75
falaise_pocket			positive		0.75
falcate				negative		-0.77
falchion			positive		0.861
falcon				positive		0.842
falcon_falco			positive		0.032
falcon_lang			positive		0.129
falconry			negative		-0.07
falernian			positive		0.742
falkenstein_castle		positive		0.09
fall				negative		-0.31
fall-blooming			positive		0.719
fall_apart			negative		-0.79
fall_armyworm			negative		-0.04
fall_asleep			positive		0.859
fall_asleep_faster		negative		-0.10
fall_away			negative		-0.72
fall_back			negative		-0.76
fall_below			positive		0.093
fall_butt			negative		-0.91
fall_dead			negative		-0.09
fall_disproportionately		negative		-0.81
fall_down			negative		-0.99
fall_down_flight_stair		negative		-0.81
fall_downhill			negative		-0.03
fall_floor			negative		-0.07
fall_for			negative		-0.75
fall_from_grace			negative		-0.8
fall_from_tree			negative		-0.77
fall_ground			negative		-0.05
fall_head			negative		-0.77
fall_headlong			negative		-0.79
fall_ice			negative		-0.04
fall_in_love			positive		0.71
fall_love			positive		0.921
fall_madly			positive		0.723
fall_mud			negative		-0.05
fall_off			negative		-0.72
fall_off_chair			negative		-0.04
fall_on_butt			negative		-0.74
fall_out			positive		0.804
fall_out_bed			negative		-0.06
fall_out_of_window		negative		-0.85
fall_over			negative		-0.82
fall_overboard			negative		-0.93
fall_panicum			positive		0.086
fall_prey			negative		-0.87
fall_semester			positive		0.738
fall_sick			negative		-0.8
fall_sky			negative		-0.07
fall_spring			positive		0.093
fall_tree			negative		-0.12
fall_unconscious		negative		-0.74
fall_victim			negative		-0.87
fall_well			negative		-0.07
fall_windsor			positive		0.873
fallacious			negative		-0.95
fallaciously			negative		-0.83
fallaciousness			negative		-0.68
fallacy				negative		-0.8
fallaway_jumper			negative		-0.81
fallback			negative		-0.78
fallen_angel			positive		0.909
fallen_leaf			negative		-0.80
fallen_tree			negative		-0.09
falleth				negative		-0.82
fallfish			negative		-0.03
fallibilism			negative		-0.82
fallibility			negative		-0.66
fallible			negative		-0.80
falling				negative		-0.96
falling-out			negative		-0.78
falling_apart			negative		-0.07
falling_asleep			negative		-0.10
falling_behind			positive		0.844
falling_ill			positive		0.877
falling_into_disrepair		negative		-0.10
falling_off			negative		-0.92
falling_overboard		positive		0.032
falling_prey			negative		-0.87
falling_victim			negative		-0.87
falling_water			positive		0.818
falloff				negative		-0.92
fallout				negative		-0.75
fallow				negative		-0.75
fallow_land			positive		0.923
falls_apart			positive		0.077
falls_overboard			positive		0.032
falls_prey			negative		-0.87
fallujah			negative		-0.10
false				negative		-0.03
false_accusation		negative		-0.61
false_accusation_against	negative		-0.30
false_accuser			negative		-0.73
false_affidavit			negative		-0.75
false_analogy			negative		-0.82
false_asphodel			negative		-0.09
false_assumption		negative		-0.8
false_beard			positive		0.629
false_belief			negative		-0.78
false_brother			negative		-0.61
false_confession		negative		-0.70
false_dichotomy			negative		-0.85
false_dilemma			positive		0.734
false_doctrine			positive		0.83
false_foxglove			negative		-0.92
false_gavial			negative		-0.79
false_hellebore			negative		-0.61
false_impression		negative		-0.80
false_killer_whale		negative		-0.07
false_modesty			positive		0.705
false_piety			positive		0.83
false_positive_rate		positive		0.093
false_premise			negative		-0.8
false_pretext			negative		-0.73
false_reassurance		positive		0.177
false_sense			positive		0.177
false_statement			negative		-0.95
false_teeth			negative		-0.76
false_testimony			negative		-0.75
false_tooth			negative		-0.80
false_umbilicate		positive		0.772
false_witness			negative		-0.81
falsehood			negative		-0.89
falsely				negative		-0.89
falsely_claim			negative		-0.8
falseness			negative		-0.95
falsest				negative		-0.66
falsetto			positive		0.897
falsification			negative		-0.03
falsify				negative		-0.55
falsity				negative		-0.58
falter				negative		-0.78
fame				positive		0.894
fame_trainer			positive		0.063
famed				positive		0.823
famed_explorer			positive		0.772
familial			positive		0.793
familial_alzheimer_disease	negative		-0.68
familial_connection		positive		0.793
familial_pattern		positive		0.747
familial_relationship		positive		0.793
familial_resemblance		negative		-0.75
familiar			positive		0.793
familiar_refrain		positive		0.059
familiarise			positive		0.948
familiarity			positive		0.071
familiarity_uncle		positive		0.067
familiarize			positive		0.948
famille_et			positive		0.75
family				positive		0.094
family_acf			positive		0.065
